model_name,popularity,best_price,highest_price,screen_size,memory_size,battery_size,release_date
Galaxy S9 SM-G960 DS 128GB Blue,92,16798.0,18370.0,5.8,128.0,3000.0,2582
Galaxy S9 SM-G960 DS 128GB Blue,101,16798.0,18370.0,5.8,128.0,3000.0,2582
Galaxy S9 SM-G960 DS 128GB Purple (SM-G960FZPG),249,13537.0,14367.0,5.8,128.0,3000.0,2582
Galaxy S9 SM-G960 DS 64GB Black (SM-G960FZKD),1105,11207.0,13880.0,5.8,64.0,3000.0,2582
Galaxy S9+ SM-G965 DS 128GB Blue,230,13436.0,14703.0,6.2,128.0,3500.0,2582
Galaxy S9+ SM-G965 DS 128GB Grey,285,13525.0,14480.0,6.2,128.0,3500.0,2582
Galaxy S9+ SM-G965 DS 128GB Purple,470,14502.0,16135.0,6.2,128.0,3500.0,2582
Galaxy S9+ SM-G965 DS 256GB Black (SM-G965FZKH),517,14532.0,15499.0,6.2,256.0,3500.0,2582
Galaxy S9+ SM-G965 DS 64GB Black (SM-G965FZKD),1135,13837.0,17966.0,6.2,64.0,3500.0,2582
Galaxy Z Flip 5G SM-F707 8/256GB Mystic Bronze,696,22434.0,24530.0,6.7,256.0,3300.0,1609
Galaxy Z Flip SM-F700 8/256GB Mirror Purple (SM-F700FZPD),1029,35015.0,41999.0,6.7,256.0,3300.0,1852
Galaxy Z Fold2 12/256GB Mystic Black (SM-F916BZKQ),1099,51460.0,59999.0,7.6,256.0,4500.0,1670
X Cover 4s G398F (SM-G398FZKD),944,7130.0,7499.0,5.0,32.0,2800.0,2036
